По твоим следам;https://litnet.com/ru/book/po-tvoim-sledam-b50946;Бесплатно;Оксана Головина;https://litnet.com/ru/oksana-golovina-u22336
Искажающие реальность-6;https://litnet.com/ru/book/iskazhayushchie-realnost-6-b171655;149            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Фантазия-1 Техномагия;https://litnet.com/ru/book/fantaziya-1-tehnomagiya-b259798;145            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Особенности воспитания небожителей;https://litnet.com/ru/book/osobennosti-vospitaniya-nebozhitelei-b290628;169            RUB;Джейд Дэвлин, Carbon;https://litnet.com/ru/dzheid-devlin-u10958
Кровавый целитель. Том I: Early game;https://litnet.com/ru/book/krovavyi-celitel-tom-i-early-game-b300856;Бесплатно;Александр Тэл (ArFrim);https://litnet.com/ru/aleksandr-tel-arfrim-u7383095
Раненые звёзды - 2: Хрупкий мир;https://litnet.com/ru/book/ranenye-zvezdy-2-xrupkii-mir-b318838;159            RUB;Сергей Котов;https://litnet.com/ru/sergei-kotov-u4505942
История Бессмертного-7. Колыбель;https://litnet.com/ru/book/istoriya-bessmertnogo-7-kolybel-b348401;165            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Человек из прошлого;https://litnet.com/ru/book/chelovek-iz-proshlogo-b354081;149            RUB;Виктор Калашников;https://litnet.com/ru/viktor-kalashnikov-u8604156
Убийца Богов 4: Око Зла ;https://litnet.com/ru/book/ubiica-bogov-4-oko-zla-b366472;135            RUB;Александр Робский ;https://litnet.com/ru/aleksandr-robskii-u1889868
Внеранговый. Семеро богов;https://litnet.com/ru/book/vnerangovyi-semero-bogov-b373998;129            RUB;Влад Туманов;https://litnet.com/ru/vlad-tumanov-u2989117
Звездный лорд. Том 3;https://litnet.com/ru/book/zvezdnyi-lord-tom-3-b395637;99            RUB;Александр Setroi Шаравар;https://litnet.com/ru/aleksandr-setroi-sharavar-u170918
Защита Периметра. Игра без правил.;https://litnet.com/ru/book/zashchita-perimetra-igra-bez-pravil-b10330;149            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Кирка тысячи атрибутов 2.0;https://litnet.com/ru/book/kirka-tysyachi-atributov-20-b191705;249            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Альянс Неудачников-2. На службе Фараона;https://litnet.com/ru/book/alyans-neudachnikov-2-na-sluzhbe-faraona-b231729;159            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
История Бессмертного-5. Конец эпохи. Часть вторая;https://litnet.com/ru/book/istoriya-bessmertnogo-5-konec-epohi-chast-vtoraya-b298437;165            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Человек из прошлого - 2: Древние;https://litnet.com/ru/book/chelovek-iz-proshlogo-2-drevnie-b372013;149            RUB;Виктор Калашников;https://litnet.com/ru/viktor-kalashnikov-u8604156
Альянс Неудачников. Первая зима;https://litnet.com/ru/book/alyans-neudachnikov-pervaya-zima-b380943;149            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Кровавый целитель. Том 5: Late game - Часть 2;https://litnet.com/ru/book/krovavyi-celitel-tom-5-late-game-chast-2-b395421;129            RUB;Александр Тэл (ArFrim);https://litnet.com/ru/aleksandr-tel-arfrim-u7383095
Легенда;https://litnet.com/ru/book/legenda-b194569;Бесплатно;Владимир Кретов;https://litnet.com/ru/vladimir-kretov-u4224360
Арена: Дорога смертников;https://litnet.com/ru/book/arena-doroga-smertnikov-b317342;140            RUB;Денис Агеев;https://litnet.com/ru/denis-ageev-u245786
Жатва душ. Остров мертвых;https://litnet.com/ru/book/zhatva-dush-ostrov-mertvyh-b394345;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Level Up. Рестарт;https://litnet.com/ru/book/level-up-restart-b9784;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Искажающие реальность-3;https://litnet.com/ru/book/iskazhayushchie-realnost-3-b60696;129            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Живые против зомби. На заре заражения. ;https://litnet.com/ru/book/zhivye-protiv-zombi-na-zare-zarazheniya-b69190;Бесплатно;Дубчиков Николай;https://litnet.com/ru/dubchikov-nikolai-u126678
Дисгардиум 2. Инициал Спящих;https://litnet.com/ru/book/disgardium-2-inicial-spyashchih-b102114;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
